CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;3282770152999;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Gel mouss nett purif 200ml;0.2;8;0.15;1;1
;;3282770153002;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Gel mouss nett purif 400ml;0.2;10.2;0.15;1;1
;;3282770153026;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Eau micell nett pur 200ml;0.2;9.3;0.15;1;1
;;3282770153033;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Eau micell nett pur 400ml;0.2;12.4;0.15;1;1
;;3282770388855;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC HYDRA Cr compensat T/40ml;0.2;11.7;0.15;1;1
;;3282770388886;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC PERFECT Flde anti-imp 40ml;0.2;13.8;0.15;1;1
;;3282770388916;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC GLOBAL Cr soin imp 40ml;0.2;11.7;0.15;1;1
6038727;;3282770104783;A-Derma;Cytelium;ADERMA CYTELIUM S Lot P irrit réact Spr/100ml;0.2;8.3;0.15;56;1
6038728;;3282770104790;A-Derma;Cytelium;ADERMA CYTELIUM Lot P irrit réact Fl/100ml;0.2;8.1;0.15;45;1
;;3282770141962;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/100ml;0.2;12.2;0.15;48;1
;;3282770143683;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Bme lèv répar 15ml;0.2;5.7;0.15;144;1
;;3282770144291;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/50ml;0.2;7.8;0.15;144;1
;;3282770145014;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Fl/100ml;0.2;8;0.15;48;1
;;3282770145021;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Flp/200ml;0.2;10;0.15;24;1
;;3282770143744;A-Derma;Exomega;ADERMA EXOMEGA Gel moussant Fl/500ml;0.2;12.7;0.15;12;1
;;3282770144116;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl/200ml;0.2;9.9;0.15;24;1
;;3282770144314;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl ppe/500ml;0.2;12.7;0.15;12;1
;;3282770149661;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/50ml;0.2;10.2;0.15;1;1
;;3282770149678;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/200ml;0.2;14;0.15;12;1
;;3282770149685;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll Fl ppe/400ml;0.2;17.7;0.15;12;1
;;3282770149715;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll T/200ml;0.2;14;0.15;24;1
;;3282770149722;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll 400ml;0.2;17.7;0.15;12;1
;;3282770149746;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll 400ml;0.2;17.7;0.15;12;1
;;3282770149753;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll T/200ml;0.2;14;0.15;12;1
;;3282770388701;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émoll R/500ml;0.2;11.2;0.15;6;1
;;3282770393842;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 200ml Nf;0.2;9.9;0.15;1;1
;;3282770393859;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 500ml Nf;0.2;12.7;0.15;12;1
;;3282770394856;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 2/500ml Nf;0.2;25.4;0.15;1;1
